0	INCREASES	24663
1	INCREASES	7856
10	DECREASES	2736
100	INCREASES	11504
10000	INCREASES	18685
10001	INCREASES	6738
10003	INCREASES	29282
10004	INCREASES	24225
10006	INCREASES	31267
10007	INCREASES	40956
10009	DECREASES	18955
10009	DECREASES	21551
10010	DECREASES	2187
10011	DECREASES	32340
10012	INCREASES	37880
10012	INCREASES	6837
10012	INCREASES	9304
10012	INCREASES	9661
10014	INCREASES	8043
10015	INCREASES	11468
10016	DECREASES	32966
10017	INCREASES	12123
10018	INCREASES	23165
10019	INCREASES	27891
10020	INCREASES	5849
10021	INCREASES	12127
10025	INCREASES	14749
10026	INCREASES	32082
10027	DECREASES	36416
10027	DECREASES	4172
10027	INCREASES	7008
10028	DECREASES	34218
10029	INCREASES	17953
10030	DECREASES	4825
10031	INCREASES	9906
10033	INCREASES	9529
10034	INCREASES	2720
10035	INCREASES	31886
10037	INCREASES	1971
10038	DECREASES	10361
10039	INCREASES	21747
10041	INCREASES	11031
10041	INCREASES	9361
10042	INCREASES	18731
10043	DECREASES	1023
10043	DECREASES	22440
10044	INCREASES	26136
10046	INCREASES	5922
10049	INCREASES	2927
10050	INCREASES	2667
10051	INCREASES	18726
10052	INCREASES	17299
10053	INCREASES	20306
10054	INCREASES	18829
10055	INCREASES	31562
10056	INCREASES	2101
10057	DIRECTLY_INCREASES	16383
10058	INCREASES	10675
10058	INCREASES	13825
10058	INCREASES	16192
10058	INCREASES	18250
10058	INCREASES	26836
10058	INCREASES	27141
10058	INCREASES	30901
10058	INCREASES	31053
10058	INCREASES	32575
10058	INCREASES	41264
10058	INCREASES	42449
10058	INCREASES	43107
10058	INCREASES	43790
10058	INCREASES	4665
10060	INCREASES	25085
10062	DECREASES	16341
10063	INCREASES	2617
10066	INCREASES	28959
10067	DECREASES	7016
10069	INCREASES	7770
10071	INCREASES	33871
10072	INCREASES	31762
10073	INCREASES	28005
10073	INCREASES	7649
10074	INCREASES	2261
10077	INCREASES	6786
10079	DECREASES	10675
10080	INCREASES	2568
10081	INCREASES	16960
10081	INCREASES	32978
10082	INCREASES	26033
10084	INCREASES	6738
10085	INCREASES	6897
10086	DECREASES	2342
10087	INCREASES	24820
10088	INCREASES	29584
10089	INCREASES	34211
10091	DECREASES	32340
10094	INCREASES	17521
10094	INCREASES	19741
10095	INCREASES	28199
10096	INCREASES	31364
10097	INCREASES	36139
10098	INCREASES	21472
10099	INCREASES	4866
101	INCREASES	7828
10101	INCREASES	35669
10101	INCREASES	9107
10102	INCREASES	2632
10103	DECREASES	2397
10104	INCREASES	10505
10106	INCREASES	1813
10107	INCREASES	23186
10110	DECREASES	2680
10111	INCREASES	29832
10112	INCREASES	23204
10113	INCREASES	15144
10114	INCREASES	25043
10115	INCREASES	31314
10116	INCREASES	3887
10117	DECREASES	21388
10118	DECREASES	11249
10119	DECREASES	33065
10120	INCREASES	26061
10121	INCREASES	17151
10122	INCREASES	8138
10125	INCREASES	21624
10128	INCREASES	17497
10129	INCREASES	12772
10129	INCREASES	22587
10129	INCREASES	7189
10130	INCREASES	7345
10131	INCREASES	7016
10132	INCREASES	9458
10135	DECREASES	31358
10138	INCREASES	4702
10138	INCREASES	4754
10141	INCREASES	1672
10142	INCREASES	20580
10142	INCREASES	24971
10144	INCREASES	17012
10147	DECREASES	12871
10147	INCREASES	19869
10147	INCREASES	22509
10147	INCREASES	25249
10148	DECREASES	2587
10149	DECREASES	2381
10149	INCREASES	6910
10150	INCREASES	7130
10151	INCREASES	13270
10152	INCREASES	20571
10153	INCREASES	36139
10154	INCREASES	21472
10155	INCREASES	4866
10157	INCREASES	40328
10158	DECREASES	20306
10158	DECREASES	29368
10158	INCREASES	8103
10159	INCREASES	14950
10159	INCREASES	32176
10159	INCREASES	7393
10160	INCREASES	38200
10161	INCREASES	11190
10162	DECREASES	1929
10163	DECREASES	14937
10164	INCREASES	14839
10165	DECREASES	4961
10168	INCREASES	11489
10169	INCREASES	18564
10170	INCREASES	13113
10175	INCREASES	9350
10177	INCREASES	5591
10179	INCREASES	6738
10180	DECREASES	40328
10181	INCREASES	16637
10182	INCREASES	12903
10182	INCREASES	18595
10182	INCREASES	18982
10182	INCREASES	20118
10182	INCREASES	22673
10182	INCREASES	9736
10183	INCREASES	23165
10183	INCREASES	8179
10184	INCREASES	32340
10185	INCREASES	9580
10186	DECREASES	7075
10188	INCREASES	31957
10189	INCREASES	18829
10192	INCREASES	24798
10193	DECREASES	7448
10194	INCREASES	5078
10195	DECREASES	37446
10198	INCREASES	20358
10198	INCREASES	32860
10198	INCREASES	33241
10198	INCREASES	5578
102	INCREASES	27241
102	INCREASES	32324
102	INCREASES	35721
102	INCREASES	38166
102	INCREASES	38418
102	INCREASES	39752
10200	INCREASES	2261
10202	INCREASES	13429
10203	INCREASES	17955
10203	INCREASES	25120
10203	INCREASES	7384
10204	INCREASES	29570
10205	INCREASES	12078
10205	INCREASES	12477
10205	INCREASES	208
10205	INCREASES	42251
10205	INCREASES	531
10206	INCREASES	38869
10208	INCREASES	2679
10209	DIRECTLY_INCREASES	27964
10210	DECREASES	40328
10211	INCREASES	34536
10213	DECREASES	34069
10215	INCREASES	13533
10216	INCREASES	18829
10217	DECREASES	11083
10217	DIRECTLY_DECREASES	37225
10217	DIRECTLY_INCREASES	4693
10217	INCREASES	7047
10222	INCREASES	31180
10223	INCREASES	13284
10223	INCREASES	21793
10223	INCREASES	28335
10223	INCREASES	5650
10224	INCREASES	23006
10225	INCREASES	2632
10226	INCREASES	2328
10229	INCREASES	25134
10230	DECREASES	32340
10232	DECREASES	3834
10233	INCREASES	1065
10233	INCREASES	12769
10233	INCREASES	12836
10234	DECREASES	27199
10236	INCREASES	12923
10237	INCREASES	15009
10238	INCREASES	20611
10239	INCREASES	20690
10240	INCREASES	11482
10241	INCREASES	17179
10242	INCREASES	28191
10243	INCREASES	6651
10244	INCREASES	4353
10246	DECREASES	19710
10246	DECREASES	7143
10246	INCREASES	34179
10247	INCREASES	13297
10249	INCREASES	37025
10252	INCREASES	18850
10253	DECREASES	31150
10254	INCREASES	2632
10255	INCREASES	17965
10255	INCREASES	7394
10256	INCREASES	19084
10257	DECREASES	27886
10259	INCREASES	24848
10260	INCREASES	18856
10262	INCREASES	2209
10263	DECREASES	24639
10263	DECREASES	6189
10266	INCREASES	2035
10268	INCREASES	343
10269	INCREASES	1920
10271	INCREASES	346
10272	INCREASES	22748
10273	DECREASES	32096
10274	INCREASES	19730
10274	INCREASES	24475
10274	INCREASES	25937
10275	INCREASES	6702
10276	INCREASES	11504
10276	INCREASES	6748
10277	DECREASES	33123
10278	INCREASES	5598
10279	INCREASES	20225
10280	INCREASES	2397
10281	DIRECTLY_DECREASES	20291
10282	DECREASES	7872
10282	INCREASES	6324
10283	DECREASES	31905
10284	INCREASES	14878
10285	INCREASES	29438
10286	INCREASES	38410
10289	INCREASES	17714
10290	INCREASES	12713
10290	INCREASES	19720
10290	INCREASES	25716
10290	INCREASES	25938
10293	INCREASES	33004
10295	INCREASES	33982
10296	INCREASES	18947
10296	INCREASES	19824
10296	INCREASES	19899
